"阿","ā"
"现","xiàn"
"现场","xiàn chǎng"
"现存","xiàn cún"
"现代","xiàn dài"
"现代化","xiàn dài huà"
"现今","xiàn jīn"
"现金","xiàn jīn"
"现实","xiàn shí"
"现象","xiàn xiàng"
"现行","xiàn xíng"
"现在","xiàn zài"
"现状","xiàn zhuàng"
"限","xiàn"
"限度","xiàn dù"
"限于","xiàn yú"
"限制","xiàn zhì"
"线","xiàn"
"线段","xiàn duàn"
"线路","xiàn lù"
"线圈","xiàn quān"
"线索","xiàn suǒ"
"线条","xiàn tiáo"
"宪法","xiàn fǎ"
"陷","xiàn"
"陷入","xiàn rù"
"陷于","xiàn yú"
"羡慕","xiàn mù"
"献","xiàn"
"献身","xiàn shēn"
"腺","xiàn"
"乡","xiāng"
"乡村","xiāng cūn"
"乡下","xiāng xia"
"相","xiāng"
"相当","xiāng dāng"
"相等","xiāng děng"
"相对","xiāng duì"
"相反","xiāng fǎn"
"相关","xiāng guān"
"相互","xiāng hù"
"相继","xiāng jì"
"相交","xiāng jiāo"
"相近","xiāng jìn"
"相连","xiāng lián"
"相似","xiāng sì"
"相通","xiāng tōng"
"相同","xiāng tóng"
"相信","xiāng xìn"
"相应","xiāng yìng"
"香","xiāng"
"香烟","xiāng yān"
"箱","xiāng"
"箱子","xiāng zi"
"详细","xiáng xì"
"降","xiáng"
"享","xiǎng"
"享受","xiǎng shòu"
"享有","xiǎng yǒu"
"响","xiǎng"
"响声","xiǎng shēng"
"响应","xiǎng yìng"
"想","xiǎng"
"想法","xiǎng•fǎ"
"想象","xiǎng xiàng"
"想象力","xiǎng xiàng lì"
"向","xiàng"
"向来","xiàng lái"
"向上","xiàng shàng"
"向往","xiàng wǎng"
"项","xiàng"
"项目","xiàng mù"
"相","xiàng"
"象","xiàng"
"象征","xiàng zhēng"
"像","xiàng"
"橡胶","xiàng jiāo"
"橡皮","xiàng pí"
"削","xiāo"
"消","xiāo"
"消除","xiāo chú"
"消毒","xiāo dú"
"消费","xiāo fèi"
"消费品","xiāo fèi pǐn"
"消耗","xiāo hào"
"消化","xiāo huà"
"消极","xiāo jí"
"消灭","xiāo miè"
"消失","xiāo shī"
"消亡","xiāo wáng"
"消息","xiāo xi"
"硝酸","xiāo suān"
"销","xiāo"
"销售","xiāo shòu"
"小","xiǎo"
"小儿","xiǎo’ér"
"小伙子","xiǎo huǒ zi"
"小姐","xiǎo•jiě"
"小麦","xiǎo mài"
"小朋友","xiǎo péng yǒu"
"小时","xiǎo shí"
"小说儿","xiǎo shuō r"
"小心","xiǎo•xīn"
"小型","xiǎo xíng"
"小学","xiǎo xué"
"小学生","xiǎo xué shēng"
"小子","xiǎo zi"
"小组","xiǎo zǔ"
"晓得","xiǎo•dé"
"校","xiào"
"校长","xiào zhǎng"
"笑","xiào"
"笑话","xiào hua"
"笑话儿","xiào hua r"
"笑容","xiào róng"
"效","xiào"
"效果","xiào guǒ"
"效力","xiào lì"
"效率","xiào lǜ"
"效益","xiào yì"
"效应","xiào yìng"
"些","xiē"
"歇","xiē"
"协定","xié dìng"
"协会","xié huì"
"协商","xié shāng"
"协调","xié tiáo"
"协同","xié tóng"
"协议","xié yì"
"协助","xié zhù"
"协作","xié zuò"
"邪","xié"
"斜","xié"
"携带","xié dài"
"鞋","xié"
"写","xiě"
"写作","xiě zuò"
"血","xuě"
"泄","xiè"
"谢","xiè"
"谢谢","xiè xie"
"解","xiè"
"蟹","xiè"
"心","xīn"
"心底","xīn dǐ"
"心里","xīn•lǐ"
"心理","xīn lǐ"
"心灵","xīn líng"
"心情","xīn qíng"
"心事","xīn shì"
"心思","xīn si"
"心头","xīn tóu"
"心血","xīn xuè"
"心脏","xīn zàng"
"辛苦","xīn kǔ"
"辛勤","xīn qín"
"欣赏","xīn shǎng"
"锌","xīn"
"新","xīn"
"新陈代谢","xīn chén dài xiè"
"新娘","xīn niáng"
"新奇","xīn qí"
"新人","xīn rén"
"新式","xīn shì"
"新闻","xīn wén"
"新鲜","xīn•xiān"
"新兴","xīn xīng"
"新型","xīn xíng"
"新颖","xīn yǐng"
"信","xìn"
"信贷","xìn dài"
"信号","xìn hào"
"信念","xìn niàn"
"信任","xìn rèn"
"信徒","xìn tú"
"信息","xìn xī"
"信心","xìn xīn"
"信仰","xìn yǎng"
"信用","xìn yòng"
"兴","xīng"
"兴奋","xīng fèn"
"兴建","xīng jiàn"
"兴起","xīng qǐ"
"星","xīng"
"星际","xīng jì"
"星期","xīng qī"
"星球","xīng qiú"
"星系","xīng xì"
"星星","xīng xing"
"星云","xīng yún"
"刑","xíng"
"刑罚","xíng fá"
"刑法","xíng fǎ"
"刑事","xíng shì"
"行","xíng"
"行动","xíng dòng"
"行军","xíng jūn"
"行李","xíng li"
"行人","xíng rén"
"行使","xíng shǐ"
"行驶","xíng shǐ"
"行为","xíng wéi"
"行星","xíng xīng"
"行政","xíng zhèng"
"行走","xíng zǒu"
"形","xíng"
"形成","xíng chéng"
"形容","xíng róng"
"形式","xíng shì"
"形势","xíng shì"
"形态","xíng tài"
"形体","xíng tǐ"
"形象","xíng xiàng"
"形状","xíng zhuàng"
"型","xíng"
"省","xǐng"
"醒","xǐng"
"兴","xìng"
"兴趣","xìng qù"
"幸福","xìng fú"
"性","xìng"
"性别","xìng bié"
"性格","xìng gé"
"性能","xìng néng"
"性情","xìng qíng"
"性质","xìng zhì"
"性状","xìng zhuàng"
"姓","xìng"
"姓名","xìng míng"
"凶","xiōng"
"兄","xiōng"
"兄弟","xiōng dì"
"兄弟","xiōng di"
"胸","xiōng"
"胸脯","xiōng pú"
"雄","xióng"
"雄伟","xióng wěi"
"熊","xióng"
"休眠","xiū mián"
"休息","xiū xi"
"修","xiū"
"修辞","xiū cí"
"修复","xiū fù"
"修改","xiū gǎi"
"修建","xiū jiàn"
"修理","xiū lǐ"
"修养","xiū yǎng"
"修正","xiū zhèng"
"宿","xiǔ"
"臭","xiù"
"袖","xiù"
"宿","xiù"
"绣","xiù"
"嗅","xiù"
"须","xū"
"虚","xū"
"需","xū"
"需求","xū qiú"
"需要","xū yào"
"徐","xú"
"许","xǔ"
"许多","xǔ duō"
"许可","xǔ kě"
"序","xù"
"叙述","xù shù"
"畜","xù"
"宣布","xuān bù"
"宣传","xuān chuán"
"宣告","xuān gào"
"宣言","xuān yán"
"宣扬","xuān yáng"
"悬","xuán"
"悬挂","xuán guà"
"旋","xuán"
"旋律","xuán lǜ"
"旋转","xuán zhuǎn"
"选","xuǎn"
"选拔","xuǎn bá"
"选举","xuǎn jǔ"
"选手","xuǎn shǒu"
"选用","xuǎn yòng"
"选择","xuǎn zé"
"旋","xuàn"
"削","xuē"
"削弱","xuē ruò"
"穴","xué"
"学","xué"
"学会","xué huì"
"学科","xué kē"
"学派","xué pai"
"学生","xué sheng"
"学术","xué shù"
"学说","xué shuō"
"学堂","xué táng"
"学徒","xué tú"
"学问","xué wen"
"学习","xué xí"
"学校","xué xiào"
"学员","xué yuán"
"学院","xué yuàn"
"学者","xué zhě"
"雪","xuě"
"雪白","xuě bái"
"雪花","xuě huā"
"血","xuè"
"血管","xuè guǎn"
"血液","xuè yè"
"寻","xún"
"寻求","xún qiú"
"寻找","xún zhǎo"
"询问","xún wèn"
"循环","xún huán"
"训","xùn"
"训练","xùn liàn"
"迅速","xùn sù"
"压","yā"
"压力","yā lì"
"压迫","yā pò"
"压强","yā qiáng"
"压缩","yā suō"
"压抑","yā yì"
"压制","yā zhì"
"押","yā"
"鸦片","yā piàn"
"鸭","yā"
"牙","yá"
"牙齿","yá chǐ"
"芽","yá"
"亚","yà"
"咽","yān"
"烟","yān"
"烟囱","yān•cōng"
"延长","yán cháng"
"延伸","yán shēn"
"延续","yán xù"
"严","yán"
"严格","yán gé"
"严寒","yán hán"
"严峻","yán jùn"
"严厉","yán lì"
"严密","yán mì"
"严肃","yán sù"
"严重","yán zhòng"
"言","yán"
"言论","yán lùn"
"言语","yán yǔ"
"岩","yán"
"岩石","yán shí"
"炎","yán"
"沿","yán"
"沿岸","yán àn"
"沿海","yán hǎi"
"研究","yán jiū"
"研究生","yán jiū shēng"
"研制","yán zhì"
"盐","yán"
"盐酸","yán suān"
"颜色","yán sè"
"掩盖","yǎn gài"
"掩护","yǎn hù"
"眼","yǎn"
"眼光","yǎn guāng"
"眼睛","yǎn jing"
"眼镜","yǎn jìng"
"眼看","yǎn kàn"
"眼泪","yǎn lèi"
"眼前","yǎn qián"
"眼神","yǎn shén"
"演","yǎn"
"演变","yǎn biàn"
"演唱","yǎn chàng"
"演出","yǎn chū"
"演化","yǎn huà"
"演讲","yǎn jiǎng"
"演说","yǎn shuō"
"演绎","yǎn yì"
"演员","yǎn yuán"
"演奏","yǎn zòu"
"厌","yàn"
"厌恶","yàn wù"
"咽","yàn"
"宴会","yàn huì"
"验","yàn"
"验证","yàn zhèng"
"秧","yāng"
"扬","yáng"
"羊","yáng"
"羊毛","yáng máo"
"阳","yáng"
"阳光","yáng guāng"
"杨","yáng"
"洋","yáng"
"仰","yǎng"
"养","yǎng"
"养分","yǎng fèn"
"养料","yǎng liào"
"养殖","yǎng zhí"
"氧","yǎng"
"氧化","yǎng huà"
"氧气","yǎng qì"
"样","yàng"
"样本","yàng běn"
"样品","yàng pǐn"
"样式","yàng shì"
"样子","yàng zi"
"约","yāo"
"要","yāo"
"要求","yāo qiú"
"腰","yāo"
"邀请","yāo qǐng"
"摇","yáo"
"摇晃","yáo•huàng"
"摇头","yáo tóu"
"遥感","yáo gǎn"
"遥远","yáo yuǎn"
"咬","yǎo"
"药","yào"
"药品","yào pǐn"
"药物","yào wù"
"要","yào"
"要紧","yào jǐn"
"要素","yào sù"
"钥匙","yào shi"
"耶酥","yē sū"
"爷爷","yé ye"
"也","yě"
"也许","yě xǔ"
"冶金","yě jīn"
"冶炼","yě liàn"
"野","yě"
"野蛮","yě mán"
"野生","yě shēng"
"野兽","yě shòu"
"野外","yě wài"
"业","yè"
"业务","yè wù"
"业余","yè yú"
"叶","yè"
"叶片","yè piàn"
"叶子","yè zi"
"页","yè"
"夜","yè"
"夜间","yè jiān"
"夜里","yè•lǐ"
"夜晚","yè wǎn"
"液","yè"
"液态","yè tài"
"液体","yè tǐ"
"一","yī"
"一般","yī bān"
"一半","yī bàn"
"一辈子","yī bèi zi"
"一边","yī biān"
"一带","yī dài"
"一旦","yī dàn"
"一定","yī dìng"
"一度","yī dù"
"一端","yī duān"
"一共","yī gòng"
"一贯","yī guàn"
"一会儿","yī huì r"
"一块儿","yī kuài r"
"一连","yī lián"
"一律","yī lǜ"
"一面","yī miàn"
"一旁","yī páng"
"一齐","yī qí"
"一起","yī qǐ"
"一切","yī qiè"
"一时","yī shí"
"一体","yī tǐ"
"一同","yī tóng"
"一线","yī xiàn"
"一向","yī xiàng"
"一心","yī xīn"
"一再","yī zài"
"一早","yī zǎo"
"一直","yī zhí"
"一致","yī zhì"
"衣","yī"
"衣服","yī fu"
"衣裳","yī shang"
"医","yī"
"医疗","yī liáo"
"医生","yī shēng"
"医学","yī xué"
"医药","yī yào"
"医院","yī yuàn"
"依","yī"
"依次","yī cì"
"依法","yī fǎ"
"依附","yī fù"
"依旧","yī jiù"
"依据","yī jù"
"依靠","yī kào"
"依赖","yī lài"
"依然","yī rán"
"依照","yī zhào"
"仪","yí"
"仪器","yí qì"
"仪式","yí shì"
"宜","yí"
"移","yí"
"移动","yí dòng"
"移民","yí mín"
"移植","yí zhí"
"遗","yí"
"遗产","yí chǎn"
"遗传","yí chuán"
"遗憾","yí hàn"
"遗留","yí liú"
"遗址","yí zhǐ"
"遗嘱","yí zhǔ"
"疑","yí"
"疑惑","yí huò"
"疑问","yí wèn"
"乙","yǐ"
"已","yǐ"
"已经","yǐ•jīng"
"以","yǐ"
"以便","yǐ biàn"
"以后","yǐ hòu"
"以及","yǐ jí"
"以来","yǐ lái"
"以免","yǐ miǎn"
"以内","yǐ nèi"
"以前","yǐ qián"
"以外","yǐ wài"
"以往","yǐ wǎng"
"以为","yǐ wéi"
"以下","yǐ xià"
"以至","yǐ zhì"
"以致","yǐ zhì"
"矣","yǐ"
"蚁","yǐ"
"倚","yǐ"
"椅子","yǐ zi"
"亿","yì"
"义","yì"
"义务","yì wù"
"艺","yì"
"艺术","yì shù"
"艺术家","yì shù jiā"
"议","yì"
"议会","yì huì"
"议论","yì lùn"
"议员","yì yuán"
"亦","yì"
"异","yì"
"异常","yì cháng"
"抑制","yì zhì"
"役","yì"
"译","yì"
"易","yì"
"易于","yì yú"
"益","yì"
"意","yì"
"意见","yì•jiàn"
"意境","yì jìng"
"意识","yì•shí"
"意思","yì si"
"意图","yì tú"
"意外","yì wài"
"意味","yì wèi"
"意象","yì xiàng"
"意义","yì yì"
"意志","yì zhì"
"毅然","yì rán"
"翼","yì"
"因","yīn"
"因此","yīn cǐ"
"因地制宜","yīn dì zhì yí"
"因而","yīn ér"
"因果","yīn guǒ"
"因素","yīn sù"
"因为","yīn•wèi"
"因子","yīn zǐ"
"阴","yīn"
"阴谋","yīn móu"
"阴阳","yīn yáng"
"阴影","yīn yǐng"
"音","yīn"
"音调","yīn diào"
"音阶","yīn jiē"
"音节","yīn jié"
"音响","yīn xiǎng"
"音乐","yīn yuè"
"银","yín"
"银行","yín háng"
"引","yǐn"
"引导","yǐn dǎo"
"引进","yǐn jìn"
"引力","yǐn lì"
"引起","yǐn qǐ"
"引用","yǐn yòng"
"饮","yǐn"
"饮食","yǐn shí"
"隐","yǐn"
"隐蔽","yǐn bì"
"隐藏","yǐn cáng"
"印","yìn"
"印刷","yìn shuā"
"印象","yìn xiàng"
"饮","yìn"
"应","yīng"
"应当","yīng dāng"
"应该","yīng gāi"
"英","yīng"
"英雄","yīng xióng"
"英勇","yīng yǒng"
"婴儿","yīng ér"
"鹰","yīng"
"迎","yíng"
"迎接","yíng jiē"
"荧光屏","yíng guāng píng"
"盈利","yíng lì"
"营","yíng"
"营养","yíng yǎng"
"营业","yíng yè"
"赢得","yíng dé"
"影","yǐng"
"影片","yǐng piàn"
"影响","yǐng xiǎng"
"影子","yǐng zi"
"应","yìng"
"应付","yìng•fù"
"应用","yìng yòng"
"映","yìng"
"硬","yìng"
"拥","yōng"
"拥护","yōng hù"
"拥挤","yōng jǐ"
"拥有","yōng yǒu"
"永","yǒng"
"永恒","yǒng héng"
"永久","yǒng jiǔ"
"永远","yǒng yuǎn"
"勇敢","yǒng gǎn"
"勇气","yǒng qì"
"勇于","yǒng yú"
"涌","yǒng"
"涌现","yǒng xiàn"
"用","yòng"
"用处","yòng•chù"
"用户","yòng hù"
"用力","yòng lì"
"用品","yòng pǐn"
"用途","yòng tú"
"优","yōu"
"优点","yōu diǎn"
"优惠","yōu huì"
"优良","yōu liáng"
"优美","yōu měi"
"优势","yōu shì"
"优先","yōu xiān"
"优秀","yōu xiù"
"优越","yōu yuè"
"优质","yōu zhì"
"忧郁","yōu yù"
"幽默","yōu mò"
"悠久","yōu jiǔ"
"尤","yóu"
"尤其","yóu qí"
"尤为","yóu wéi"
"由","yóu"
"由于","yóu yú"
"邮票","yóu piào"
"犹","yóu"
"犹如","yóu rú"
"犹豫","yóu yù"
"油","yóu"
"油画","yóu huà"
"油田","yóu tián"
"铀","yóu"
"游","yóu"
"游击","yóu jī"
"游击队","yóu jī duì"
"游戏","yóu xì"
"游行","yóu xíng"
"游泳","yóu yǒng"
"友","yǒu"
"友好","yǒu hǎo"
"友人","yǒu rén"
"友谊","yǒu yì"
"有","yǒu"
"有关","yǒu guān"
"有机","yǒu jī"
"有力","yǒu lì"
"有利","yǒu lì"
"有名","yǒu míng"
"有趣","yǒu qù"
"有如","yǒu rú"
"有时","yǒu shí"
"有限","yǒu xiàn"
"有效","yǒu xiào"
"有益","yǒu yì"
"有意","yǒu yì"
"又","yòu"
"右","yòu"
"右边","yòu•biān"
"右手","yòu shǒu"
"幼","yòu"
"幼虫","yòu chóng"
"幼儿","yòu ér"
"幼苗","yòu miáo"
"幼年","yòu nián"
"诱导","yòu dǎo"
"于","yú"
"于是","yú shì"
"予","yú"
"余","yú"
"余地","yú dì"
"鱼","yú"
"娱乐","yú lè"
"渔","yú"
"渔业","yú yè"
"愉快","yú kuài"
"舆论","yú lùn"
"与","yǔ"
"与其","yǔ qí"
"予","yǔ"
"予以","yǔ yǐ"
"宇宙","yǔ zhòu"
"羽","yǔ"
"羽毛","yǔ máo"
"雨","yǔ"
"雨水","yǔ shuǐ"
"语","yǔ"
"语法","yǔ fǎ"
"语句","yǔ jù"
"语气","yǔ qì"
"语文","yǔ wén"
"语言","yǔ yán"
"语音","yǔ yīn"
"玉","yù"
"玉米","yù mǐ"
"育","yù"
"育种","yù zhǒng"
"预报","yù bào"
"预备","yù bèi"
"预测","yù cè"
"预定","yù dìng"
"预防","yù fáng"
"预计","yù jì"
"预料","yù liào"
"预期","yù qī"
"预算","yù suàn"
"预先","yù xiān"
"预言","yù yán"
"域","yù"
"欲","yù"
"欲望","yù wàng"
"遇","yù"
"遇见","yù•jiàn"
"愈","yù"
"元","yuán"
"元素","yuán sù"
"园","yuán"
"员","yuán"
"袁","yuán"
"原","yuán"
"原材料","yuán cái liào"
"原来","yuán lái"
"原理","yuán lǐ"
"原谅","yuán liàng"
"原料","yuán liào"
"原始","yuán shǐ"
"原先","yuán xiān"
"原因","yuán yīn"
"原则","yuán zé"
"原子","yuán zǐ"
"原子核","yuán zǐ hé"
"圆","yuán"
"圆心","yuán xīn"
"援助","yuán zhù"
"缘","yuán"
"缘故","yuán gù"
"源","yuán"
"源泉","yuán quán"
"远","yuǎn"
"远方","yuǎn fāng"
"怨","yuàn"
"院","yuàn"
"院子","yuàn zi"
"愿","yuàn"
"愿望","yuàn wàng"
"愿意","yuàn•yì"
"曰","yuē"
"约","yuē"
"约束","yuē shù"
"月","yuè"
"月初","yuè chū"
"月份","yuè fèn"
"月光","yuè guāng"
"月亮","yuè liang"
"月球","yuè qiú"
"乐","yuè"
"乐队","yuè duì"
"乐器","yuè qì"
"乐曲","yuè qǔ"
"阅读","yuè dú"
"跃","yuè"
"越","yuè"
"越冬","yuè dōng"
"越过","yuè guò"
"粤","yuè"
"云","yún"
"匀","yún"
"允许","yǔn xǔ"
"运","yùn"
"运动","yùn dòng"
"运动员","yùn dòng yuán"
"运输","yùn shū"
"运算","yùn suàn"
"运行","yùn xíng"
"运用","yùn yòng"
"运转","yùn zhuǎn"
"韵","yùn"
"蕴藏","yùn cáng"
"扎","zā"
"杂","zá"
"杂交","zá jiāo"
"杂志","zá zhì"
"杂质","zá zhì"
"砸","zá"
"灾难","zāi nán"
"栽","zāi"
"栽培","zāi péi"
"再","zài"
"再见","zài jiàn"
"再现","zài xiàn"
"在","zài"
"在场","zài chǎng"
"在家","zài jiā"
"在于","zài yú"
"载","zài"
"咱","zán"
"咱们","zán men"
"暂","zàn"
"暂时","zàn shí"
"赞成","zàn chéng"
"赞美","zàn měi"
"赞叹","zàn tàn"
"赞扬","zàn yáng"
"赃","zāng"
"脏","zàng"
"葬","zàng"
"藏","zàng"
"遭","zāo"
"遭受","zāo shòu"
"遭遇","zāo yù"
"糟","zāo"
"早","zǎo"
"早晨","zǎo•chén"
"早期","zǎo qī"
"早日","zǎo rì"
"早上","zǎo shang"
"早已","zǎo yǐ"
"藻","zǎo"
"灶","zào"
"造","zào"
"造就","zào jiù"
"造型","zào xíng"
"则","zé"
"责","zé"
"责任","zé rèn"
"责任感","zé rèn gǎn"
"贼","zéi"
"怎","zěn"
"怎么","zěn me"
"怎么样","zěn me yàng"
"怎样","zěn yàng"
"曾","zēng"
"增","zēng"
"增产","zēng chǎn"
"增多","zēng duō"
"增高","zēng gāo"
"增加","zēng jiā"
"增进","zēng jìn"
"增强","zēng qiáng"
"增添","zēng tiān"
"增长","zēng zhǎng"
"增殖","zēng zhí"
"扎","zhā"
"炸","zhá"
"眨","zhǎ"
"炸","zhà"
"炸弹","zhà dàn"
"摘","zhāi"
"窄","zhǎi"
"债","zhài"
"债务","zhài wù"
"寨","zhài"
"占","zhān"
"沾","zhān"
"粘","zhān"
"盏","zhǎn"
"展","zhǎn"
"展开","zhǎn kāi"
"展览","zhǎn lǎn"
"展示","zhǎn shì"
"展现","zhǎn xiàn"
"崭新","zhǎn xīn"
"占","zhàn"
"占据","zhàn jù"
"占领","zhàn lǐng"
"占用","zhàn yòng"
"占有","zhàn yǒu"
"战","zhàn"
"战场","zhàn chǎng"
"战斗","zhàn dòu"
"战国","zhàn guó"
"战略","zhàn lüè"
"战胜","zhàn shèng"
"战士","zhàn shì"
"战术","zhàn shù"
"战线","zhàn xiàn"
"战役","zhàn yì"
"战友","zhàn yǒu"
"战争","zhàn zhēng"
"站","zhàn"
"张","zhāng"
"章","zhāng"
"章程","zhāng chéng"
"长","zhǎng"
"长官","zhǎng guān"
"涨","zhǎng"
"掌","zhǎng"
"掌握","zhǎng wò"
"丈","zhàng"
"丈夫","zhàng fu"
"仗","zhàng"
"帐","zhàng"
"帐篷","zhàng peng"
"账","zhàng"
"胀","zhàng"
"涨","zhàng"
"障碍","zhàng ài"
"招","zhāo"
"招待","zhāo dài"
"招呼","zhāo hu"
"招生","zhāo shēng"
"着","zhāo"
"朝","zhāo"
"着","zháo"
"着急","zháo jí"
"找","zhǎo"
"召集","zhào jí"
"召开","zhào kāi"
"赵","zhào"
"照","zhào"
"照顾","zhào•gù"
"照例","zhào lì"
"照明","zhào míng"
"照片","zhào piàn"
"照射","zhào shè"
"照相","zhào xiàng"
"照相机","zhào xiàng jī"
"照样","zhào yàng"
"照耀","zhào yào"
"遮","zhē"
"折","zhé"
"折磨","zhé•mó"
"折射","shé shè"
"哲学","zhé xué"
"者","zhě"
"这","zhè"
"这个","zhè ge"
"这里","zhè•lǐ"
"这么","zhè me"
"这儿","zhè r"
"这些","zhè xiē"
"这样","zhè yàng"
"针","zhēn"
"针对","zhēn duì"
"针灸","zhēn jiǔ"
"侦查","zhēn chá"
"侦察","zhēn chá"
"珍贵","zhēn guì"
"珍珠","zhēn zhū"
"真","zhēn"
"真诚","zhēn chéng"
"真空","zhēn kōng"
"真理","zhēn lǐ"
"真实","zhēn shí"
"真正","zhēn zhèng"
"诊断","zhěn duàn"
"枕头","zhěn tou"
"阵","zhèn"
"阵地","zhèn dì"
"振","zhèn"
"振荡","zhèn dàng"
"振动","zhèn dòng"
"振奋","zhèn fèn"
"振兴","zhèn xīng"
"震","zhèn"
"震动","zhèn dòng"
"震惊","zhèn jīng"
"镇","zhèn"
"镇压","zhèn yā"
"争","zhēng"
"争夺","zhēng duó"
"争论","zhēng lùn"
"争取","zhēng qǔ"
"征","zhēng"
"征服","zhēng fú"
"征求","zhēng qiú"
"征收","zhēng shōu"
"挣","zhēng"
"睁","zhēng"
"蒸","zhēng"
"蒸发","zhēng fā"
"蒸气","zhēng qì"
"整","zhěng"
"整顿","zhěng dùn"
"整个","zhěng gè"
"整理","zhěng lǐ"
"整齐","zhěng qí"
"整体","zhěng tǐ"
"正","zhèng"
"正常","zhèng cháng"
"正当","zhèng dāng"
"正当","zhèng dàng"
"正规","zhèng guī"
"正好","zhèng hǎo"
"正面","zhèng miàn"
"正确","zhèng què"
"正式","zhèng shì"
"正义","zhèng yì"
"正在","zhèng zài"
"证","zhèng"
"证据","zhèng jù"
"证明","zhèng míng"
"证实","zhèng shí"
"证书","zhèng shū"
"郑","zhèng"
"政","zhèng"
"政策","zhèng cè"
"政党","zhèng dǎng"
"政府","zhèng fǔ"
"政权","zhèng quán"
"政委","zhèng wěi"
"政治","zhèng zhì"
"挣","zhèng"
"症","zhèng"
"症状","zhèng zhuàng"
"之","zhī"
"之后","zhī hòu"
"之前","zhī qián"
"支","zhī"
"支部","zhī bù"
"支撑","zhī chēng"
"支持","zhī chí"
"支出","zhī chū"
"支队","zhī duì"
"支付","zhī fù"
"支配","zhī pèi"
"支援","zhī yuán"
"只","zhī"
"汁","zhī"
"枝","zhī"
"枝条","zhī tiáo"
"枝叶","zhī yè"
"知","zhī"
"知道","zhī•dào"
"知觉","zhī jué"
"知识","zhī shi"
"肢","zhī"
"织","zhī"
"脂肪","zhī fáng"
"执行","zhí xíng"
"直","zhí"
"直观","zhí guān"
"直角","zhí jiǎo"
"直接","zhí jiē"
"直径","zhí jìng"
"直觉","zhí jué"
"直立","zhí lì"
"直辖市","zhí xiá shì"
"直线","zhí xiàn"
"直至","zhí zhì"
"值","zhí"
"值班","zhí bān"
"值得","zhí•dé"
"职","zhí"
"职工","zhí gōng"
"职能","zhí néng"
"职权","zhí quán"
"职务","zhí wù"
"职业","zhí yè"
"职员","zhí yuán"
"职责","zhí zé"
"植","zhí"
"植物","zhí wù"
"植株","zhí zhū"
"殖","zhí"
"殖民","zhí mín"
"殖民地","zhí mín dì"
"止","zhǐ"
"只","zhǐ"
"只得","zhǐ dé"
"只顾","zhǐ gù"
"只好","zhǐ hǎo"
"只是","zhǐ shì"
"只要","zhǐ yào"
"只有","zhǐ yǒu"
"旨","zhǐ"
"指","zhǐ"
"指标","zhǐ biāo"
"指导","zhǐ dǎo"
"指定","zhǐ dìng"
"指挥","zhǐ huī"
"指令","zhǐ lìng"
"指明","zhǐ míng"
"指示","zhǐ shì"
"指数","zhǐ shù"
"指责","zhǐ zé"
"至","zhì"
"至此","zhì cǐ"
"至今","zhì jīn"
"至少","zhì shǎo"
"至于","zhì yú"
"志","zhì"
"制","zhì"
"制定","zhì dìng"
"制订","zhì dìng"
"制度","zhì dù"
"制品","zhì pǐn"
"制约","zhì yuē"
"制造","zhì zào"
"制止","zhì zhǐ"
"制作","zhì zuò"
"质","zhì"
"质变","zhì biàn"
"质量","zhì liàng"
"质子","zhì zǐ"
"治","zhì"
"治安","zhì ān"
"治理","zhì lǐ"
"治疗","zhì liáo"
"致","zhì"
"致富","zhì fù"
"致使","zhì shǐ"
"秩序","zhì xù"
"智","zhì"
"智慧","zhì huì"
"智力","zhì lì"
"智能","zhì néng"
"滞","zhì"
"置","zhì"
"中","zhōng"
"中等","zhōng děng"
"中断","zhōng duàn"
"中华","zhōng huá"
"中间","zhōng jiān"
"中年","zhōng nián"
"中期","zhōng qī"
"中世纪","zhōng shì jì"
"中枢","zhōng shū"
"中外","zhōng wài"
"中午","zhōng wǔ"
"中心","zhōng xīn"
"中性","zhōng xìng"
"中学","zhōng xué"
"中学生","zhōng xué shēng"
"中旬","zhōng xún"
"中央","zhōng yāng"
"中叶","zhōng yè"
"中医","zhōng yī"
"中原","zhōng yuán"
"中子","zhōng zǐ"
"忠诚","zhōng chéng"
"忠实","zhōng shí"
"终","zhōng"
"终究","zhōng jiū"
"终年","zhōng nián"
"终身","zhōng shēn"
"终于","zhōng yú"
"钟","zhōng"
"钟头","zhōng tóu"
"肿","zhǒng"
"肿瘤","zhǒng liú"
"种","zhǒng"
"种类","zhǒng lèi"
"种群","zhǒng qún"
"种子","zhǒng zi"
"种族","zhǒng zú"
"中","zhòng"
"中毒","zhòng dú"
"众","zhòng"
"众多","zhòng duō"
"众人","zhòng rén"
"种","zhòng"
"种植","zhòng zhí"
"重","zhòng"
"重大","zhòng dà"
"重点","zhòng diǎn"
"重工业","zhòng gōng yè"
"重力","zhòng lì"
"重量","zhòng liàng"
"重视","zhòng shì"
"重要","zhòng yào"
"州","zhōu"
"周","zhōu"
"周年","zhōu nián"
"周期","zhōu qī"
"周围","zhōu wéi"
"周转","zhōu zhuǎn"
"轴","zhóu"
"昼夜","zhòu yè"
"皱","zhòu"
"朱","zhū"
"珠","zhū"
"株","zhū"
"诸","zhū"
"诸如","zhū rú"
"猪","zhū"
"竹","zhú"
"逐","zhú"
"逐步","zhú bù"
"逐渐","zhú jiàn"
"逐年","zhú nián"
"主","zhǔ"
"主编","zhǔ biān"
"主持","zhǔ chí"
